continent,Day,Month,Year,total_cases,new_cases,total_deaths,new_deaths
Europe,31,12,2019,0,0,0,0
Europe,1,1,2020,0,0,0,0
Europe,2,1,2020,0,0,0,0
Europe,3,1,2020,0,0,0,0
Europe,4,1,2020,0,0,0,0
Europe,5,1,2020,0,0,0,0
Europe,6,1,2020,0,0,0,0
Europe,7,1,2020,0,0,0,0
Europe,8,1,2020,0,0,0,0
Europe,9,1,2020,0,0,0,0
Europe,10,1,2020,0,0,0,0
Europe,11,1,2020,0,0,0,0
Europe,12,1,2020,0,0,0,0
Europe,13,1,2020,0,0,0,0
Europe,14,1,2020,0,0,0,0
Europe,15,1,2020,0,0,0,0
Europe,16,1,2020,0,0,0,0
Europe,17,1,2020,0,0,0,0
Europe,18,1,2020,0,0,0,0
Europe,19,1,2020,0,0,0,0
Europe,20,1,2020,0,0,0,0
Europe,21,1,2020,0,0,0,0
Europe,22,1,2020,0,0,0,0
Europe,23,1,2020,0,0,0,0
Europe,24,1,2020,0,0,0,0
Europe,25,1,2020,3,3,0,0
Europe,26,1,2020,3,0,0,0
Europe,27,1,2020,3,0,0,0
Europe,28,1,2020,4,1,0,0
Europe,29,1,2020,8,4,0,0
Europe,30,1,2020,10,2,0,0
Europe,31,1,2020,15,5,0,0
Europe,1,2,2020,23,8,0,0
Europe,2,2,2020,24,1,0,0
Europe,3,2,2020,25,1,0,0
Europe,4,2,2020,28,3,0,0
Europe,5,2,2020,29,1,0,0
Europe,6,2,2020,29,0,0,0
Europe,7,2,2020,31,2,0,0
Europe,8,2,2020,37,6,0,0
Europe,9,2,2020,37,0,0,0
Europe,10,2,2020,42,5,0,0
Europe,11,2,2020,43,1,0,0
Europe,12,2,2020,45,2,0,0
Europe,13,2,2020,46,1,0,0
Europe,14,2,2020,46,0,0,0
Europe,15,2,2020,46,0,1,1
Europe,16,2,2020,46,0,1,0
Europe,17,2,2020,47,1,1,0
Europe,18,2,2020,47,0,1,0
Europe,19,2,2020,47,0,1,0
Europe,20,2,2020,47,0,1,0
Europe,21,2,2020,47,0,1,0
Europe,22,2,2020,61,14,1,0
Europe,23,2,2020,124,63,3,2
Europe,24,2,2020,177,53,3,0
Europe,25,2,2020,275,98,7,4
Europe,26,2,2020,384,109,12,5
Europe,27,2,2020,490,106,14,2
Europe,28,2,2020,831,341,19,5
Europe,29,2,2020,1151,320,23,4
Europe,1,3,2020,1578,427,31,8
Europe,2,3,2020,2284,706,38,7
