,date,total_deaths
0,31/12/2019,0
1,01/01/2020,0
2,02/01/2020,0
3,03/01/2020,0
4,04/01/2020,0
5,05/01/2020,0
6,06/01/2020,0
7,07/01/2020,0
8,08/01/2020,0
9,09/01/2020,0
10,10/01/2020,0
11,11/01/2020,0
12,12/01/2020,0
13,13/01/2020,0
14,14/01/2020,0
15,15/01/2020,0
16,16/01/2020,0
17,17/01/2020,0
18,18/01/2020,0
19,19/01/2020,0
20,20/01/2020,0
21,21/01/2020,0
22,22/01/2020,0
23,23/01/2020,0
24,24/01/2020,0
25,25/01/2020,0
26,26/01/2020,0
27,27/01/2020,0
28,28/01/2020,0
29,29/01/2020,0
30,30/01/2020,0
31,31/01/2020,0
32,01/02/2020,0
33,02/02/2020,0
34,03/02/2020,0
35,04/02/2020,0
36,05/02/2020,0
37,06/02/2020,0
38,07/02/2020,0
39,08/02/2020,0
40,09/02/2020,0
41,10/02/2020,0
42,11/02/2020,0
43,12/02/2020,0
44,13/02/2020,0
45,14/02/2020,0
46,15/02/2020,1
47,16/02/2020,1
48,17/02/2020,1
49,18/02/2020,1
50,19/02/2020,1
51,20/02/2020,1
52,21/02/2020,1
53,22/02/2020,1
54,23/02/2020,3
55,24/02/2020,3
56,25/02/2020,7
57,26/02/2020,12
58,27/02/2020,14
59,28/02/2020,19
60,29/02/2020,23
61,01/03/2020,31
62,02/03/2020,37
63,03/03/2020,55
64,04/03/2020,84
65,05/03/2020,112
66,06/03/2020,159
67,07/03/2020,214
68,08/03/2020,252
69,09/03/2020,397
70,10/03/2020,533
71,11/03/2020,716
72,12/03/2020,955
73,13/03/2020,1202
74,14/03/2020,1519
75,15/03/2020,1763
76,16/03/2020,2360
77,17/03/2020,2795
78,18/03/2020,3410
79,19/03/2020,4149
80,20/03/2020,5030
81,21/03/2020,6103
82,22/03/2020,7527
83,23/03/2020,8872
84,24/03/2020,10403
85,25/03/2020,12299
86,26/03/2020,14459
87,27/03/2020,16722
88,28/03/2020,19514
89,29/03/2020,22309
90,30/03/2020,24922
91,31/03/2020,27913
92,01/04/2020,31313
93,02/04/2020,34792
94,03/04/2020,38438
95,04/04/2020,43727
96,05/04/2020,47935
97,06/04/2020,50993
98,07/04/2020,54464
99,08/04/2020,59484
100,09/04/2020,63484
101,10/04/2020,68268
102,11/04/2020,72476
103,12/04/2020,75992
104,13/04/2020,79090
105,14/04/2020,82292
106,15/04/2020,86586
107,16/04/2020,91315
108,17/04/2020,95337
109,18/04/2020,99117
110,19/04/2020,102669
111,20/04/2020,105062
112,21/04/2020,107882
113,22/04/2020,111655
114,23/04/2020,114846
115,24/04/2020,117794
116,25/04/2020,120870
117,26/04/2020,123726
118,27/04/2020,125225
